Tarih,Ülke,Onaylananlar,Ölenler,İyileşenler
1/22/20,Afghanistan,0,0,0
1/23/20,Afghanistan,0,0,0
1/24/20,Afghanistan,0,0,0
1/25/20,Afghanistan,0,0,0
1/26/20,Afghanistan,0,0,0
1/27/20,Afghanistan,0,0,0
1/28/20,Afghanistan,0,0,0
1/29/20,Afghanistan,0,0,0
1/30/20,Afghanistan,0,0,0
1/31/20,Afghanistan,0,0,0
43832,Afghanistan,0,0,0
43863,Afghanistan,0,0,0
43892,Afghanistan,0,0,0
43923,Afghanistan,0,0,0
43953,Afghanistan,0,0,0
43984,Afghanistan,0,0,0
44014,Afghanistan,0,0,0
44045,Afghanistan,0,0,0
44076,Afghanistan,0,0,0
44106,Afghanistan,0,0,0
44137,Afghanistan,0,0,0
44167,Afghanistan,0,0,0
2/13/20,Afghanistan,0,0,0
2/14/20,Afghanistan,0,0,0
2/15/20,Afghanistan,0,0,0
2/16/20,Afghanistan,0,0,0
2/17/20,Afghanistan,0,0,0
2/18/20,Afghanistan,0,0,0
2/19/20,Afghanistan,0,0,0
2/20/20,Afghanistan,0,0,0
2/21/20,Afghanistan,0,0,0
2/22/20,Afghanistan,0,0,0
2/23/20,Afghanistan,0,0,0
2/24/20,Afghanistan,1,0,0
2/25/20,Afghanistan,1,0,0
2/26/20,Afghanistan,1,0,0
2/27/20,Afghanistan,1,0,0
2/28/20,Afghanistan,1,0,0
2/29/20,Afghanistan,1,0,0
43833,Afghanistan,1,0,0
43864,Afghanistan,1,0,0
43893,Afghanistan,1,0,0
43924,Afghanistan,1,0,0
43954,Afghanistan,1,0,0
43985,Afghanistan,1,0,0
44015,Afghanistan,1,0,0
44046,Afghanistan,4,0,0
44077,Afghanistan,4,0,0
44107,Afghanistan,5,0,0
44138,Afghanistan,7,0,0
44168,Afghanistan,7,0,0
3/13/20,Afghanistan,7,0,0
3/14/20,Afghanistan,11,0,0
3/15/20,Afghanistan,16,0,0
3/16/20,Afghanistan,21,0,1
3/17/20,Afghanistan,22,0,1
3/18/20,Afghanistan,22,0,1
3/19/20,Afghanistan,22,0,1
3/20/20,Afghanistan,24,0,1
3/21/20,Afghanistan,24,0,1
3/22/20,Afghanistan,40,1,1
3/23/20,Afghanistan,40,1,1
3/24/20,Afghanistan,74,1,1
3/25/20,Afghanistan,84,2,2
3/26/20,Afghanistan,94,4,2
3/27/20,Afghanistan,110,4,2
3/28/20,Afghanistan,110,4,2
3/29/20,Afghanistan,120,4,2
3/30/20,Afghanistan,170,4,2
3/31/20,Afghanistan,174,4,5
43834,Afghanistan,237,4,5
43865,Afghanistan,273,6,10
43894,Afghanistan,281,6,10
43925,Afghanistan,299,7,10
43955,Afghanistan,349,7,15
43986,Afghanistan,367,11,18
44016,Afghanistan,423,14,18
44047,Afghanistan,444,14,29
44078,Afghanistan,484,15,32
44108,Afghanistan,521,15,32
44139,Afghanistan,555,18,32
44169,Afghanistan,607,18,32
4/13/20,Afghanistan,665,21,32
4/14/20,Afghanistan,714,23,40
4/15/20,Afghanistan,784,25,43
4/16/20,Afghanistan,840,30,54
4/17/20,Afghanistan,906,30,99
4/18/20,Afghanistan,933,30,112
4/19/20,Afghanistan,996,33,131
4/20/20,Afghanistan,1026,36,135
4/21/20,Afghanistan,1092,36,150
4/22/20,Afghanistan,1176,40,166
4/23/20,Afghanistan,1279,42,179
4/24/20,Afghanistan,1351,43,188
4/25/20,Afghanistan,1463,47,188
4/26/20,Afghanistan,1531,50,207
4/27/20,Afghanistan,1703,57,220
1/22/20,Albania,0,0,0
1/23/20,Albania,0,0,0
1/24/20,Albania,0,0,0
1/25/20,Albania,0,0,0
1/26/20,Albania,0,0,0
1/27/20,Albania,0,0,0
1/28/20,Albania,0,0,0
1/29/20,Albania,0,0,0
1/30/20,Albania,0,0,0
1/31/20,Albania,0,0,0
43832,Albania,0,0,0
43863,Albania,0,0,0
43892,Albania,0,0,0
43923,Albania,0,0,0
43953,Albania,0,0,0
43984,Albania,0,0,0
44014,Albania,0,0,0
44045,Albania,0,0,0
44076,Albania,0,0,0
44106,Albania,0,0,0
44137,Albania,0,0,0
44167,Albania,0,0,0
2/13/20,Albania,0,0,0
2/14/20,Albania,0,0,0
2/15/20,Albania,0,0,0
2/16/20,Albania,0,0,0
2/17/20,Albania,0,0,0
2/18/20,Albania,0,0,0
2/19/20,Albania,0,0,0
2/20/20,Albania,0,0,0
2/21/20,Albania,0,0,0
2/22/20,Albania,0,0,0
2/23/20,Albania,0,0,0
2/24/20,Albania,0,0,0
2/25/20,Albania,0,0,0
2/26/20,Albania,0,0,0
2/27/20,Albania,0,0,0
2/28/20,Albania,0,0,0
2/29/20,Albania,0,0,0
43833,Albania,0,0,0
43864,Albania,0,0,0
43893,Albania,0,0,0
43924,Albania,0,0,0
43954,Albania,0,0,0
43985,Albania,0,0,0
44015,Albania,0,0,0
44046,Albania,0,0,0
44077,Albania,2,0,0
44107,Albania,10,0,0
44138,Albania,12,1,0
44168,Albania,23,1,0
3/13/20,Albania,33,1,0
3/14/20,Albania,38,1,0
3/15/20,Albania,42,1,0
3/16/20,Albania,51,1,0
3/17/20,Albania,55,1,0
3/18/20,Albania,59,2,0
3/19/20,Albania,64,2,0
3/20/20,Albania,70,2,0
3/21/20,Albania,76,2,2
3/22/20,Albania,89,2,2
3/23/20,Albania,104,4,2
3/24/20,Albania,123,5,10
3/25/20,Albania,146,5,17
3/26/20,Albania,174,6,17
3/27/20,Albania,186,8,31
